Distance_(pixels),Gray_Value
0,879.000
1,906.924
2,958.688
3,1030.585
4,1057.151
5,1020.082
6,1094.089
7,1178.779
8,1220.199
9,1353.400
10,1335.914
11,1391.837
12,1464.200
13,1550.199
14,1696.388
15,1873.852
16,1995.133
17,2185.966
18,2279.267
19,2446.725
20,2665.296
21,2784.000
22,2948.658
23,3073.090
24,3160.541
25,3274.214
26,3345.119
27,3404.200
28,3544.155
29,3568.545
30,3586.963
31,3681.650
32,3745.290
33,3650.370
34,3660.854
35,3658.313
36,3638.867
37,3489.377
38,3558.211
39,3520.570
40,3681.407
41,3843.091
42,3907.970
43,3924.712
44,3768.124
45,3981.333
46,3877.332
47,3662.597
48,3541.252
49,3542.511
50,3548.992
51,3444.830
52,3383.911
53,3347.367
54,3303.800
55,3349.638
56,3472.015
57,3323.659
58,3450.975
59,3575.806
60,3562.037
61,3429.956
62,3474.443
63,3578.600
64,3534.528
65,3481.724
66,3518.259
67,3512.448
68,3555.982
69,3671.437
70,3634.840
71,3524.038
72,3494.467
73,3478.065
74,3440.797
75,3490.074
76,3416.024
77,3710.207
78,3837.704
79,3846.074
80,3921.481
81,3874.800
82,3863.348
83,3735.388
84,3541.378
85,3373.193
86,3270.933
87,3130.756
88,3003.026
89,2717.856
90,2728.000
91,2683.771
92,2672.849
93,2773.948
94,2956.244
95,3093.519
96,3143.548
97,3012.384
98,2920.323
99,2937.533
100,2900.514
101,2837.490
102,2729.274
103,2755.519
104,2567.329
105,2483.148
106,2425.669
107,2364.790
108,2295.000
109,2188.430
110,2106.963
111,2038.748
112,1913.418
113,1959.857
114,1761.111
115,1739.724
116,1729.064
117,1698.867
118,1621.482
119,1614.012
120,1617.185
121,1575.287
122,1582.393
123,1503.170
124,1408.493
125,1467.078
126,1474.800
127,1419.177
128,1373.551
129,1338.430
130,1310.132
131,1342.669
132,1356.296
133,1372.187
134,1338.304
135,1282.000
